feature,dtype
visible_impression_info_amplitude_category_l1_name,object
seller_id,int64
price,int64
discount_percent_clean,int64
has_discount,int64
rating_average,float64
quantity_sold_value,int64
source,object
discount_bucket,object
price_log1p,float64
price_bucket,object
rating_bucket,object
sold_bucket,object
name_len,int64
name_word_count,int64
has_model_hint,int64
discount_bucket_ord,int64
price_bucket_ord,int64
rating_bucket_ord,int64
sold_bucket_ord,int64
source_camera,int64
source_laptop,int64
source_phone,int64
source_speaker,int64
source_tv,int64
visible_impression_info_amplitude_category_l1_name_Laptop - Máy Vi Tính - Linh kiện,int64
visible_impression_info_amplitude_category_l1_name_Máy Ảnh - Máy Quay Phim,int64
visible_impression_info_amplitude_category_l1_name_Thiết Bị Số - Phụ Kiện Số,int64
visible_impression_info_amplitude_category_l1_name_Điện Thoại - Máy Tính Bảng,int64
visible_impression_info_amplitude_category_l1_name_Điện Tử - Điện Lạnh,int64
brand_freq,int64
brand_le,int64
brand_key_freq,int64
brand_key_le,int64
model_key_freq,int64
model_key_le,float64
seller_id_freq,int64
seller_id_le,int64
dup_group_id,int64
duplicated,bool
dup_score_max,float64
